Eastern Florida State College, Public, FL, Proposing a hybrid model, “Many Fall Term 2020 courses will move to online delivery.”, https://www.easternflorida.edu/academics/class-schedule-search.cfm
Eastern Michigan University, Public, MI, Planning for in-person, planning for in-person, https://www.emich.edu/president/communications/campus-messages/2020-05-07.php
Eastern Washington University, Public, WA, Planning for online, planning for mostly online classes, https://www.ewu.edu/stories/online-first-maximum-flexibility-instruction-model-for-fall-2020/
Elon University, Private, NC, Planning for in-person, “Elon is planning to conduct fall semester classes on campus ” but that could change “depending on the ongoing threat.”, https://www.elon.edu/u/coronavirus/
Elmhurst College, Private, IL, Planning for in-person, planning to return to in-person classes in August, https://www.elmhurst.edu/fall-term-2020-planning/
Emerson College, Private, MA, Waiting to decide, conducting a student poll to help in decision process, https://berkeleybeacon.com/emerson-polling-survey-on-covid-19-to-help-decide-fate-of-fall-semester/
Emory & Henry College, Private, VA, Planning for in-person, planning for fall classes “to take place on campus with the proper measures taken to ensure the safety of students  faculty  guests and visitors”, https://www.ehc.edu/covid19/campus-updates/
Emory University, Private, GA, Waiting to decide, likely to decide by early May  according to the student newspaper, https://emorywheel.com/provost-remains-hopeful-for-in-person-classes-come-fall/
Emporia State University, Public, KS, Planning for in-person, offering , https://www.emporia.edu/covid-19-information/campus-communications/april-30-2020-moving-forward-town-hall-meeting/
Fairfield University, Private, CT, Planning for in-person, intends to resume on-campus instruction in the fall, https://www.fairfield.edu/undergraduate/student-life-and-services/health-and-wellness/health-center/emergencies/coronavirus/
Fairmont State University, Public, WV, Planning for in-person, planning for face-to-face classes in the fall, https://www.fairmontstate.edu/news/academics-front-page/fairmont-state-releases-updated-academic-calendar-begins-classes-aug-10
Ferris State University, Public, MI, Planning for in-person, planning for in-person, https://www.ferris.edu/HTMLS/news/coronavirus/message-to-campus-may12-2020.htm
Fisher College, Private, MA, Waiting to decide, no final decision until at least July 1, https://www.fisher.edu/about/updates-on-the-coronavirus
Florida Institute of Technology, Private, FL, Planning for in-person, plans to resume face-to-face classes for fall semester, https://www.fit.edu/coronavirus/
Florida Southern College, Private, FL, Planning for in-person, moved start of fall semester to September 1 from August 18, https://www.flsouthern.edu/news/recent/2020/general/fall-fall-semester-classes-to-begin-september-1.aspx
Florida State University, Public, FL, Planning for in-person, expects fall semester will start as normal in August, https://news.fsu.edu/news/2020/04/15/frequently-asked-questions-for-undergraduate-students-starting-in-summer-2020/
Fordham University, Private, NY, Planning for in-person, planning for in-person, https://www.fordham.edu/info/29768/fall_2020
Fullerton College, Public, CA, Proposing a hybrid model, planning for online, https://coronavirus.fullcoll.edu/2020/05/08/campus-update-for-students-may-8-distance-education-continues-through-the-fall/
Furman University, Private, SC, Waiting to decide, will announce plans by mid to late June, https://www.furman.edu/covid-19/updates/04-24-2020/
Gannon University, Private, PA, Planning for in-person, intends to resume face-to-face classes in August, https://update.gannon.edu/Update/Detail/30?fbclid=IwAR2B6uUtTquJKtbmGZU8rDMlG1jK8zFNHlWFhTUC2BpB6iJQU9D2CGVTgMY
Geneva College, Private, PA, Planning for in-person, plans to resume in-person instruction, https://www.geneva.edu/emergency/covid-19-update-students
George Fox University, Public, OR, Planning for in-person, plans to open campus in the fall, https://blogs.georgefox.edu/bruinblog/?p=3655
George Mason University, Public, VA, Waiting to decide, says more information could come by early June, https://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/
George Washington University, Private, DC, Waiting to decide, will provide a more detailed communication about our plans for operation by May 15, https://campusadvisories.gwu.edu/covid-19-frequently-asked-questions
Gonzaga University, Private, WA, Planning for in-person, “will work with the goal of returning to operations and re-opening our campus – including resuming in-class instruction – for fall semester 2020”, https://www.gonzaga.edu/about/offices-services/emergency-preparedness/zagready/hazard-specific-resources/coronavirus/announcements-messages/fall-2020-announcement-to-students-families?fbclid=IwAR1k8N-j7TO7kCEKtb_uBekCTS_5l3heBmfzh4N3M94l91u4G0Ki9LeUiOM
Grand Valley State University, Public, MI, Planning for in-person, planning for in-person classes in the fall  but will announce a final decision by June 22, https://www.gvsu.edu/coronavirus
Grinnell College, Private, IA, Considering a range of scenarios, considering a range of scenarios, https://instructionalcontinuity.sites.grinnell.edu/wp-content/uploads/2020/05/AC-faculty-staff-5-5-FINAL.pdf
Grove City College, Private, PA, Planning for in-person, planning for in-person, http://www.gcc.edu/Home/News-Archive/News-Article/college-prepares-for-return-to-classes-on-august-24
Guiliford College, Private, NC, Planning for in-person, planning for in-person, https://www.guilford.edu/news/2020/05/guilford-college-open-campus-fall-2020
Hawaii Pacific University, Private, HI, Planning for in-person, plans to open August 24 for fall semester, https://www.hpu.edu/about-us/news-and-events/news/2020/05/student-message-coronavirus.html
Hampden-Sydney College, Private, VA, Planning for in-person, We will convene as a community and hold classes here at Hampden-Sydney this fall as we have for the past 245 years., http://www.hsc.edu/news-index/fall-semester-resumes
Hampshire College, Private, MA, Planning for in-person, planning in-person fall classes, https://www.hampshire.edu/health-services/2020/02/04/updates-on-covid-19-novel-coronavirus?fbclid=IwAR2RWKOVwZeiC0Hxw-RDAEduPFqQO-j1tzhCniVnPpjn2iHAp1H9IVdP9bM
Harding University, Private, AR, Planning for in-person,  planning to resume in-person instruction, https://harding.edu/public-safety/emergency-management/coronavirus-notifications/may-8-update
Harvard University, Private, MA, Considering a range of scenarios, The campus will be open  but the provost says we will need to prepare for a scenario in which much or all learning will be conducted remotely., https://www.harvard.edu/coronavirus/updates-community-messages/planning-for-fall-2020
Haverford College, Private, PA, Planning for in-person, We expect on-campus learning to resume for the fall semester., https://www.haverford.edu/coronavirus-information
High Point University, Private, NC, Planning for in-person, preparing to resume in-person classes, http://www.highpoint.edu/studenthealth/coronavirus/
Hiram College, Private, OH, Planning for in-person, planning for in-person, https://docs.google.com/spreadsheets/d/17ky9w6Hg49Qt86_LH4R83O8xUsl2fbk4WRp2Hl8JZNU/edit#gid=0
Hollins University, Private, VA, Planning for in-person, planning for in-person fall classes, https://www.hollins.edu/coronavirus-preparedness/
Holy Cross College, Private, IN, Planning for in-person, intends to be open for fall semester, https://ndsmcobserver.com/2020/05/holy-cross-announces-intent-to-begin-in-person-instruction-aug-24/
Hope International University, Private, CA, Planning for in-person, planning in-person fall classes, https://www.hiu.edu/about-hiu/news-and-events/news-detail.php?id=438
Huntingdon College, Private, AL, Planning for in-person, plans to start fall semester in-person on August 10, https://www.huntingdon.edu/huntingdon-announces-fall-start-date/
Husson University, Private, ME, Planning for in-person, Husson will be welcoming students back to our campus in the fall  provided health authorities at the local  state and federal level deem it safe to reopen., https://www.husson.edu/covid-19-response
Indiana University, Public, IN, Considering a range of scenarios, Indiana University  Public  IN  Will return to in-person instruction in the fall in a best-case scenario, https://indianapublicmedia.org/news/returning-to-campus-maybe.-iu-president-outlines-5-scenarios-for-fall-semester.php
Illinois State University, Public, IL, Planning for in-person, “ISU fully intends to welcome students back to campus for the 2020-2021 academic year” , https://news.illinoisstate.edu/2020/04/a-message-from-president-dietz-to-faculty-and-staff-4-30-20/
Iowa Board of Regents, Public, IA, Planning for in-person, planning a full normal operation for its universities — including Iowa State University  the University of Iowa   and the University of Northern Iowa — and in person classes  reopening of residence halls in the fall, https://www.president.iastate.edu/sites/default/files/communications/President's%20Messages/FY20/2020.4.24%20Fall%20Planning.pdf; https://www.desmoinesregister.com/story/news/education/2020/04/25/iowas-colleges-working-full-normal-operation-fall-semester/3023207001/
Ithaca College, Private, NY, Considering a range of scenarios, considering a range of scenarios  but suspending all international trips, https://www.ithaca.edu/news/update-campus-operations-june-and-july
James Madison University, Public, VA, Planning for in-person, “We are expecting to open as scheduled for in-person classes.”, https://www.jmu.edu/news/covid19/index.shtml
Judson University, Private, IL, Planning for in-person, planning to reopen in the fall with in-person classes and residential students  but will adjust to state requirements if necessary, https://www.judsonu.edu/coronavirus/
Kansas State University, Public, KS, Planning for in-person, intends to return to campus in the fall, https://www.k-state.edu/today/announcement/?id=64796
Kean University, Public, NJ, Waiting to decide, waiting to decide, https://www.kean.edu/coronavirus-information
Kent State University, Public, OH, Considering a range of scenarios, planning for a range of scenarios , https://www.kent.edu/kent/thursday-april-30-2020-345-pm
Kenyon College, Private, OH, Planning for in-person, planning for in-person, https://blogs.kenyon.edu/campus-report/post/covid-19-update-planning-for-fall-2020/
Knox College, Private, IL, Planning for in-person, plans to welcome students back for in-person classes, https://www.knox.edu/news/president-announces-plans-to-welcome-students-back-for-fall-term
LaGrange College, Private, GA, Planning for in-person, planning for in-person, https://www.lagrange.edu/News/2020/05/College%20plans%20fall%20return.html#.XrRmoGhKjI
Laguna College of Art and Design, Private, CA, Planning for in-person, planning for in-person instruction, https://my.lcad.edu/wp-content/uploads/2020/03/fall-semester-update-5_4_2020.pdf
Lake Superior State University, Public, MI, Planning for in-person, plans to start fall classes earlier than normal, https://www.freep.com/story/news/education/2020/05/07/lake-superior-state-classes-early-fall-covid/3090060001/
Lawrence Technological University, Private, MI, Waiting to decide, intends to welcome students in the fall  but will announce plans on July 1, https://www.ltu.edu/coronavirus/president.asp
Lawrence University, Private, WI, Considering a range of scenarios, considering a range of scenarios, https://blogs.lawrence.edu/covid-19/2020/05/11/looking-forward-to-fall-a-message-from-president-burstein/
Lehigh University, Private, PA, Waiting to decide, will decide by June 15, https://www2.lehigh.edu/news/5620-updated-information-on-planning-for-the-fall-semester-from-president-simon
